	id_sent	n_sent	id_article	sent
17	17	18.0	0	This final stage of the 6'-month journey involved a dramatic deceleration from a speed of more than 12,000 miles per hour at the top of the Martian atmosphere to a mere 1.7 mph when it was just above the surface.
18	18	19.0	0	The carefully choreographed routine required a heat shield, a supersonic parachute, retrorockets and the 'skycrane' maneuver, which involved lowering the rover from midair on a set of roughly 21-foot-long tethers.
19	19	20.0	0	Shortly before reaching the top of the atmosphere, the spacecraft used thrusters to bring its spin of two rotations per minute down to zero. '
20	20	21.0	0	From here on out it's just going to be a bullet,' Manning said.
21	21	22.0	0	Another pivotal moment in the landing sequence came when Perseverance successfully deployed its parachute. '
22	22	23.0	0	team members could be heard exclaiming upon confirmation that the rover had successfully slowed down.
23	23	24.0	0	Advertisement Sticking a landing in Jezero Crater was long considered unthinkable, since the site is strewn with sharp rocks and boulders, treacherous sand dunes and hazardous cliffs.
24	24	25.0	0	But JPL engineers made this possible by equipping Perseverance with new technologies that gave the rover the autonomy to avoid hazards on its own, said Allen Chen, leader of the entry, descent and landing team.
25	25	26.0	0	With under-the-hood upgrades such as Range Trigger and Terrain-Relative Navigation, Perseverance was able 'to avoid all that death that's out there for us' and guide itself to a nice flat spot with a mere 1.2-degree tilt, Chen said. '
26	26	27.0	0	dkM9jE9I6X ' NASA's Perseverance Mars Rover ( February 18, 2021
27	27	28.0	0	Jennifer Trosper, deputy project manager for Mars 2020, said the surface operations team was thrilled to have made it to the planet.
28	28	29.0	0	Our job is to think of all the bad things that can happen and try to avoid those ' and when all good things happen you feel like you're dreaming,' Trosper said. '
29	29	30.0	0	Arriving safely at Mars was just the first hurdle of the 2.4-billion Mars 2020 mission, which will last for at least one Martian year (about 687 days on Earth). '
30	30	31.0	0	Now that we're on the ground, now the fun really starts,' said Lori Glaze, director of NASA's planetary science division.
31	31	32.0	0	The science team is already hard at work examining the rover's pictures and figuring out what to tackle first.
32	32	33.0	0	Glaze said she's eager to see the imaging and microphone data gathered by the rover during its descent.
33	33	34.0	0	For the first time, 'we're all going to get to experience just exactly what that was like,' she said.
34	34	35.0	0	It's tasked with using its suite of sophisticated cameras and specialized instruments to search for so-called biosignatures ' materials, textures and other telltale patterns in ancient rock that could be signs of past life.
35	35	36.0	0	The rover's job will be to select a promising and diverse set of samples, which it will collect and stow on the surface for future spacecraft to retrieve and ferry back to scientists waiting on Earth.
36	36	37.0	0	Advertisement Jezero Crater is an ideal spot for this work, geologists say.
37	37	38.0	0	It features a delta ' a clear sign that running water once flowed into a body of water like a lake.
38	38	39.0	0	That would have been an ideal environment for trapping any microbial life that may have existed billions of years ago.
39	39	40.0	0	Caltech geochemist Ken Farley, Mars 2020's project scientist, said the rover landed about 1' miles southeast of the delta, along the boundary between two geologic units.
40	40	41.0	0	Perseverance came to rest on a smooth area known as the mafic floor unit, which adjoins a rough area full of sand dunes called the olivine-bearing unit. '
41	41	42.0	0	This is a great place to be because one of the things that scientists love to do is look to see how two different geologic units come together,' Farley said. '
42	42	43.0	0	Within weeks, Perseverance should be ready to deploy Ingenuity, a 4-pound, solar-powered helicopter that would be the first of its kind to fly on another world.
43	43	44.0	0	If successful, it could pave the way for future flying planetary explorers.
44	44	45.0	0	The rover will also use an onboard instrument suite to synthesize oxygen using the carbon dioxide in the thin Martian atmosphere.
45	45	46.0	0	The proof-of-concept experiment could show that it's possible on Mars to create both breathable oxygen and spacecraft fuel ' two essential resources for any humans who may one day visit the red planet.
46	46	47.0	0	It will be several weeks before Perseverance embarks on its science mission.
47	47	48.0	0	Until then, its handlers will be checking the rover, downloading new flight software for surface operations, and perhaps doing a few calisthenics ' that is, stretching out to see if its robotic arm is moving as it should.
48	48	49.0	0	Over the coming weeks and months, Perseverance will transmit gorgeous Martian panoramas, detailed color images and new scientific findings.
49	49	50.0	0	But there's no beating the magic of the first days on another world, JPL Director Michael Watkins said.
50	50	51.0	0	There is something special about the first few days, because we have just landed a representative of the planet Earth on a place on Mars that no one has ever been to,' he said.
51	51	1.0	1	NASA's science rover Perseverance, the most advanced astrobiology laboratory ever sent to another world, streaked through the Martian atmosphere on Thursday and landed safely on the floor of a vast crater, its first stop on a search for traces of ancient microbial life on the Red Planet.
52	52	2.0	1	Mission managers at NASA's Jet Propulsion Laboratory near Los Angeles burst into applause and cheers as radio signals confirmed that the six-wheeled rover had survived its perilous descent and arrived within its target zone inside Jezero Crater, site of a long-vanished Martian lake bed.
53	53	3.0	1	The CountdownToMars is complete, but the mission is just beginning.
54	54	4.0	1	The robotic vehicle sailed through space for nearly seven months, covering 472 million km (293 million miles) before piercing the Martian atmosphere at 19,000 km an hour (12,000 miles per hour) to begin its approach to touchdown on the planet's surface.
55	55	5.0	1	NASA's Perseverance Mars Rover ( February 18, 2021
56	56	6.0	1	The spacecraft's self-guided descent and landing during a complex series of manoeuvres that NASA dubbed 'the seven minutes of terror' stands as the most elaborate and challenging feat in the annals of robotic spaceflight.
57	57	7.0	1	This is a sign: NASA works, NASA works,' Rob Manning, chief engineer for NASA's Jet Propulsion Laboratory, said moments after the landing. '
58	58	8.0	1	And we put our arms together, and our hands together, and our brains together, we can succeed.
59	59	9.0	1	When we put our arms together and our hands together and our brains together, we can succeed.
60	60	10.0	1	""" chief engineer and landing veteran Rob Manning celebrates NASAPersevere's successful CountdownToMars: pic.twitter.com/"
61	61	11.0	1	The landing represented the riskiest part of two-year, 2.7bn endeavour whose primary aim is to search for possible fossilised signs of microbes that may have flourished on Mars some three billion years ago, when the fourth planet from the sun was warmer, wetter and potentially hospitable to life.
62	62	12.0	1	Scientists hope to find biosignatures embedded in samples of ancient sediments that Perseverance is designed to extract from Martian rock for future analysis back on Earth ' the first such specimens ever collected by humans from another planet.
63	63	13.0	1	NASA's Perseverance Mars Rover ( February 18, 2021 And another look behind me.
64	64	14.0	1	( February 18, 2021 Two subsequent Mars missions are planned to retrieve the samples and return them to NASA in the next decade.
65	65	15.0	1	Thursday's landing came as a triumph for a pandemic-weary United States in the grips of economic dislocation caused by the COVID-19 public health crisis. '
66	66	16.0	1	What an amazing team to work through all the adversity and challenges that go with landing a rover on Mars, plus the challenges of COVID,' said acting NASA Administrator Steve Jurczyk.
67	67	17.0	1	What an amazing team to work through all the adversity and challenges that go with landing a rover on Mars, plus the challenges of COVID.
68	68	18.0	1	Acting Administrator Steve Jurczyk congratulates the team on a successful CountdownToMars:
69	69	19.0	1	NASA scientists have described Perseverance as the most ambitious of nearly 20 US missions to Mars dating back to the Mariner spacecraft's 1965 fly-by.
70	70	20.0	1	Larger and packed with more instruments than the four Mars rovers preceding it, Perseverance is set to build on previous findings that liquid water once flowed on the Martian surface and that carbon and other minerals altered by water and considered precursors to the evolution of life were present.
71	71	21.0	1	Perseverance's payload also includes demonstration projects that could help pave the way for eventual human exploration of Mars, including a device to convert the carbon dioxide in the Martian atmosphere into pure oxygen.
72	72	22.0	1	The box-shaped tool, the first built to extract a natural resource of direct use to humans from an extraterrestrial environment, could prove invaluable for future human life support on Mars and for producing rocket propellant to fly astronauts home.
73	73	23.0	1	Another experimental prototype Perseverance carried is a miniature helicopter designed to test the first powered, controlled flight of an aircraft on another planet.
74	74	24.0	1	If successful, the 1.8-kg (four-pound) helicopter could lead to low-altitude aerial surveillance of distant worlds, officials said.
75	75	25.0	1	The daredevil nature of the rover's descent to the Martian surface, at a site that NASA described as both tantalising to scientists and especially hazardous for landing, was a momentous achievement in itself.
76	76	26.0	1	[ survives on Mars] because of the team that performs the health and safety assessments everyday and communicates with the rover.
77	77	27.0	1	""" surface mission manager Jessica Samuels takes a student question about what's next for Perseverance: pic.twitter.com/"
78	78	28.0	1	The multi-stage spacecraft carrying the rover soared into the top of Martian atmosphere at nearly 16 times the speed of sound on Earth, angled to produce aerodynamic lift while jet thrusters adjusted its trajectory.
79	79	29.0	1	A jarring, supersonic parachute inflation further slowed the descent, giving way to deployment of a rocket-powered 'sky crane' vehicle that flew to a safe landing spot, lowered the rover on tethers, then flew off to crash a safe distance away.
80	80	30.0	1	Perseverance's immediate predecessor, the rover Curiosity, landed in 2012 and remains in operation, as does the stationary lander InSight, which arrived in 2018 to study the deep interior of Mars.
81	81	31.0	1	Last week, separate probes launched by the United Arab Emirates and China reached Martian orbit.
82	82	1.0	2	NASA has unveiled the first pictures from its fifth Mars rover, Perseverance, after a successful landing on the red planet's Jezero crater at approximately 3:55 p.m. Thursday.
83	83	2.0	2	The Mars 2020 Perseverance mission embodies our nation's spirit of persevering even in the most challenging of situations, inspiring, and advancing science and exploration.
84	84	3.0	2	Perseverance, the most technologically advanced robot NASA has sent to date, traveled 293 million miles to reach Mars over the course of more than six months after launching on a United Launch Alliance Atlas V rocket from Cape Canaveral Space Station on July 30.
85	85	4.0	2	It will remain on Mars for nearly two years, searching for signs of ancient life and exploring the planet's surface.
86	86	5.0	2	The mission will help prepare the agency for future human exploration on Mars in the 2030s. '
87	87	6.0	2	BUILDING BLOCKS OF LIFE EXIST' ON MARS, FORMER NASA ADMINISTRATOR CONFIRMS
88	88	7.0	2	The 2.7 billion rover, built in NASA's Jet Propulsion Laboratory in Pasadena, Calif., is about 10 feet long, 9 feet wide, seven feet tall and about 2,260 pounds, roughly 278 pounds heavier than its predecessor, Curiosity.
89	89	8.0	2	Perserverance is designed to drive an average of 650 feet per Martian day and features seven scientific instruments, a robotic arm that reaches about seven feet long, a rock drill.
90	90	9.0	2	The scientific instruments on the rover include a camera designed to take high-definition video, panoramic color and 3D images of the Martian surface and features in the atmosphere with a zoom lens to magnify distant targets, a group of sensors to measure weather and monitor dust on the planet's surface, a system that will be used to produce oxygen from the Martian carbon-dioxide atmosphere, an x-ray and camera system that can measure the chemical makeup of rocks and analyze features as small as a grain of salt, a ground-penetrating radar system to analyze geologic features under Mars' surface, a group of cameras, spectrometers, and a laser to search for organics and minerals as well as take clse up images of rock grains and surface textures, and a camera to identify the chemical composition of rocks and soils, including their atomic and molecular makeup.
91	91	10.0	2	"In addition, the rover carries a commemorative plate to honor COVID-19 healthcare workers and has the names of 10.9 million people stenciled into three of its silicon chips with the words ""Explore as one"" written in Morse code."
92	92	11.0	2	"WOULD NIX ARTEMIS PROGRAM Perseverance's landing involved the ""seven minutes of terror,"" a fiery atmospheric entry in a protective capsule which involved a parachute-assisted descent."
93	93	12.0	2	"The ""seven minutes of terror"" is referred to by NASA engineers as the time it takes to enter the Martian atmosphere and descend to the surface."
94	94	13.0	2	The spacecraft is guided solely by pre-programmed controls in its onboard computer, due to a roughly 11 minute signal delay between Earth and Mars.
95	95	14.0	2	Perseverance entered into the atmosphere at about 12,100 miles per hour in a protective capsule.
96	96	15.0	2	The spacecraft then deployed a parachute to begin slowing down before removing its protective capsule and heat shield.
97	97	16.0	2	The rover's landing mechanism then fired eight rocket thrusters to slow down from about 170 miles per hour to about two miles per hour and guide it to a proper landing spot before using a sky crane to lower onto Mars' surface.
98	98	17.0	2	Perseverance landed in the Jezero Crater, a 28-mile-wide basin in the northern hemisphere of Mars, where NASA believes a body of water about the size of Lake Tahoe used to flow.
99	99	18.0	2	The Perseverance science team believes this ancient river delta and lake deposits could have collected and preserved organic molecules and other potential signs of microbial life.
100	100	19.0	2	THE FOX NEWS APP Perseverance is also carrying the Ingenuity helicopter, a technology demonstration that will attempt the first powered, controlled flight on another planet.
101	101	20.0	2	Ingenuinity will be deployed in a few months from underneath the rover in a flat area.
102	102	21.0	2	Perseverance will then drive about 330 feet away to capture the flight attempt with its cameras.
103	103	22.0	2	Once Ingenuity's test flights are complete, the rover's search for evidence of ancient microbial life will begin.
104	104	23.0	2	Subsequent NASA missions, in cooperation with the European Space Agency, will send spacecraft to Mars to collect the cached samples recovered from the surface and return them to Earth for in-depth analysis.
105	105	1.0	3	After zipping hundreds of millions of miles through space, the Mars rover Perseverance is just minutes away from attempting to land on the red planet in what has been described as one of the most daring robotic maneuvers in NASA's history.
106	106	2.0	3	The car-size rover, which launched in July 2020, is aiming to touch down on Mars on Thursday at around 3:55 p.m. ET.
107	107	3.0	3	If successful, Perseverance will become NASA's fifth rover to land on the red planet and will kick off the agency's most ambitious mission yet to examine whether life ever existed on Mars. '
108	108	4.0	3	Perseverance is attempting to answer one of the biggest questions in the history of humanity: Is there life elsewhere in the solar system'' said Chris Carberry, co-founder and CEO of Explore Mars, a nonprofit organization that advocates for human exploration of the planet. '
109	109	5.0	3	If people can't get excited about this mission, I don't know what's wrong with them.'
110	110	6.0	3	Like its predecessor, Curiosity, the Perseverance rover's descent to the Martian surface has been dubbed the 'seven minutes of terror.'
111	111	7.0	3	This is because a complex sequence of programmed events must occur at precise times in order for the landing to be successful.
112	112	8.0	3	Once it enters Mars' atmosphere, the entire spacecraft is pretty much acting autonomously,' said Janet Ivey, president of Explore Mars. '
113	113	9.0	3	You can't send a message from Earth to divert it from landing on a hill or near a big rock.
114	114	10.0	3	Only around half of all previous attempts to land a spacecraft on Mars have succeeded, according to NASA, and Perseverance's planned touchdown is particularly risky.
115	115	11.0	3	Once the rover enters Mars' atmosphere, it will be traveling at roughly 12,000 miles per hour, according to NASA.
116	116	12.0	3	A parachute will then be deployed and shortly before touchdown a 'jetpack' will fire a series of retrorockets to slow the spacecraft.
117	117	13.0	3	An intricate sky-crane ' similar to the one used during the Curiosity rover's landing ' will then lower the rover to the Martian surface.
118	118	14.0	3	During the nerve-racking entry and descent phase, friction from Mars' atmosphere will also subject the spacecraft to temperatures of more than 2,300 degrees Fahrenheit, mission managers have said.
119	119	15.0	3	The rover is aiming to settle in Jezero Crater, a 28-mile-wide basin just north of the Martian equator that scientists think was once home to an ancient river delta.
120	120	16.0	3	If Mars once supported life billions of years ago, it's thought that Jezero Crater could be the best place to look for potential fossilized clues in the region's sediments and mineral deposits.
121	121	17.0	3	But Jezero's landscape is also characterized by large boulder fields, sand dunes and cliffs that make a landing unpredictable and challenging. '
122	122	18.0	3	No Mars landing is guaranteed, but we have been preparing a decade to put this rover's wheels down on the surface of Mars and get to work,' Jennifer Trosper, deputy project manager for the Perseverance mission at NASA's Jet Propulsion Laboratory, said in a statement.
123	123	19.0	3	If successful, the Perseverance mission could be the start of a new era of Mars exploration, according to Robert Zubrin, author of 'The Case for Mars' and founder of The Mars Society, a nonprofit organization that aims to advance human missions to the red planet. '
124	124	20.0	3	Perseverance could conceivably find fossilized microbial life,' Zubrin said. '
125	125	21.0	3	If we could drill, find these microfossils, bring them up and subject them to all kinds of examination, we would find out the truth about life in the universe.
126	126	22.0	3	The mission will also lay the groundwork for future human missions to the red planet.
127	127	23.0	3	The rover is outfitted with a suite of seven tools to study the planet's geology and past climate.
128	128	24.0	3	In addition to high-powered cameras, Perseverance is equipped with a drill and robotic arm to collect samples, an instrument to examine the chemical composition of rocks and sediments, a tool to measure weather on Mars and an experiment to test if oxygen can be produced from Mars' carbon dioxide-rich atmosphere.
129	129	25.0	3	The rover is also carrying a helicopter, known as Ingenuity, that mission controllers will use to attempt the first controlled flights on another planet.
130	130	26.0	3	The 4-pound drone is designed to fly around and scout out nearby areas in and around Jezero Crater.
131	131	27.0	3	The Perseverance mission is part of a broader NASA initiative with the European Space Agency that aims to collect samples of rocks and sediment from Mars and return them to Earth.
132	132	28.0	3	Earlier this month, separate space probes from the United Arab Emirates and China successfully entered into orbit around Mars, making them just the fifth and sixth nations to do so.
133	133	1.0	4	"""I'm safe on Mars"" isn't a tweet you see every day."
134	134	2.0	4	It's the update provided by the Twitter account for NASA's Perseverance rover ( after it successfully landed Thursday on the Red Planet.
135	135	3.0	4	The tweet went out to a rapidly-growing audience of more than 1.2 million followers, with promises of more to come in the future.
136	136	4.0	4	The tweet, which gathered more than 480,000 likes as of Thursday night, punctuated a 300-million-mile voyage and coincided with the rover's 3:55 p.m. EST landing.
137	137	5.0	4	A key step in NASA's search for signs of life Behind those tweets is a five-person team that ' like Voltron, as they like to say ' came together to create a social media persona for Perseverance.
138	138	6.0	4	"On Twitter and Facebook, the team has worked hard to show that Perseverance is a ""boss."
139	139	7.0	4	The bilingual team ' the rover speaks Spanish, too ' is comprised of Stephanie L. Smith, Linda Rivera, Scott Hulme, Carolina Mart'nez and Gabrielle Moreira.
140	140	8.0	4	Hulme, a public outreach specialist for NASA and the person who hit send on Thursdays tweets, said there's an amazing story that the social media team behind Perseverance wants to tell the world.
141	141	9.0	4	"You're definitely in the hot seat, of course,"" he told USA TODAY."
142	142	10.0	4	But, just like the rest of the team that's there in Mission Control, you're well-practiced.
143	143	11.0	4	Ultimately, we're trying to just bring everybody along with us.
144	144	12.0	4	"He added: ""We kind of got together and thought about what makes this rover different."
145	145	13.0	4	What makes this rover different from the others that have gone before it'
146	146	14.0	4	The rover has a personality, a drive to succeed that informs its choices.
147	147	15.0	4	Rivera, a digital and social media specialist at NASA's Jet Propulsion Laboratory who on Thursday monitored Perseverance's Facebook account, said the character-creation processes included deep thoughts about things like the rover's hobbies.
148	148	16.0	4	According to Twitter, those hobbies are photography, collecting rocks and off-roading.
149	149	17.0	4	"For the past few years, we've lived with the mission team,"" said Mart'nez, manager for Mars public engagement."
150	150	18.0	4	That personality sort of becomes self-evident and very recognizable to us as we work closely with the mission team.
151	151	19.0	4	Being there every day, we see how different it is from the other robots.
152	152	20.0	4	And the team behind Perseverance's social media presence isn't shy about comparisons to past projects.
153	153	21.0	4	"If Perseverance is anything, she's a boss,"" said Smith, the JPL's digital and social media lead."
154	154	22.0	4	She's the biggest, most ambitious rover we've ever sent to the surface of another planet.
155	155	23.0	4	She's got a rock vaporizing laser on her head, just like Curiosity did.
156	156	24.0	4	NASA's Perseverance Mars Rover ( February 18, 2021
157	157	25.0	4	But unlike Curiosity, who while charming, isn't as capable as Perseverance ' Curiosity
158	158	26.0	4	Curiosity can't drive and think about driving at the same time.
159	159	27.0	4	Perseverance has a second brain and if Perseverance had gone to college, she would have been summa.
160	160	28.0	4	"SpaceIsForEveryone: How the landing crew of NASA's Mars rover Perseverance exemplified for viewers that spaceisforeveryone It adds: ""I'm headed for Mars: driven to search for signs of ancient life, test new tech to help future human explorers, and collect the first rock samples for future return to Earth."
161	161	29.0	4	A few brands have gotten in on the Twitter fun, including Krispy Kreme (apparently looking to set up shop in space) and Buffalo Wild Wings (hoping for signs of past chicken wings).
162	162	30.0	4	"Perseverance, nicknamed ""Percy"" by mission managers, launched in July 2020 and landed in the Jezero Crater on Mars on Thursday."
163	163	31.0	4	"The nuclear-powered, 2,260-pound rover's mission is to ""seek signs of ancient life and collect samples of rock and regolith (broken rock and soil) for possible return to Earth,"" according to NASA."
164	164	32.0	4	"One of the account's first updates from Mars was a look at its ""forever home."
165	165	33.0	4	"Perseverance will ""spend at least one Mars year (two Earth years) exploring the landing site region,"" according to NASA."
166	166	34.0	4	Communicating really complex science in ways that people can connect with and having that voice and that personality that people can grab onto.
167	167	35.0	4	I think that's really important, to bring the science to a level that's understandable.
168	168	1.0	5	Now that it has landed, the rover ' and a helicopter named Ingenuity that will undertake the first ever flight on another planet ' will get to work exploring Mars in search of clues about its ancient past.
169	169	2.0	5	That will include attempting to understand whether the planet was ever habitable, and scouring for clues of past life on its surface.
170	170	3.0	5	The arrival on Mars brought an end to a journey of months and 300 million miles.
171	171	4.0	5	It finished off a perilous entry, descent and landing process that saw it hurtle through the atmosphere, slow down to a safe speed, and then use a highly-advanced 'Terrain Relative Navigation' system that will allow it to adjust where it lands to ensure it can safely drop down onto the surface.
172	172	1.0	6	Elliot Page, who rose to fame as the lead in teen pregnancy comedy Juno as Ellen Page, has announced he is transgender. '
173	173	2.0	6	Hi friends,' he wrote on a variety of social media platforms, 'I want to share with you that I am trans
174	174	3.0	6	, my pronouns are he/they and my name is Elliot.'
175	175	4.0	6	I've been endlessly inspired by so many in trans community.
176	176	5.0	6	Thank you for your courage He continued: 'I feel lucky to be writing this.
177	177	6.0	6	I feel overwhelming gratitude for the incredible people who have supported me along this journey.
178	178	7.0	6	I can't begin to express how remarkable it feels to finally love who I am enough to pursue my authentic self.
179	179	8.0	6	I've been endlessly inspired by so many in the trans community.
180	180	9.0	6	Thank you for your courage, your generosity and ceaselessly working to make this world a more inclusive and compassionate place.
181	181	10.0	6	I will offer whatever support I can and continue to strive for a more loving and equal society.
182	182	11.0	6	The actor also spoke of his fear in coming out and highlighted the difficulties faced by less privileged people who have done the same. '
183	183	12.0	6	The truth is, despite feeling profoundly happy right now and knowing how much privilege I carry, I am also scared.
184	184	13.0	6	To be clear, I am not trying to dampen a moment that is joyous and one that I celebrate, but I want to address the full picture.
185	185	14.0	6	The discrimination towards trans people is rife, insidious and cruel, resulting in horrific consequences.
186	186	15.0	6	In 2020 alone it has been reported that at least 40 transgender people have been murdered, the majority of which were Black and Latinx trans women.'
187	187	16.0	6	The actor continued with a robust condemnation of what he perceived as cultural and institutional prejudice against trans people, saying those in positions of power or influence who use their platforms to 'spew hostility' have 'blood on your hands'. '
188	188	17.0	6	To the political leaders who work to criminalize trans healthcare and deny our right to exist and to all of those with a massive platform who continue to spew hostility towards the trans community: you have blood on your hands.
189	189	18.0	6	You unleash a fury of vile and demeaning rage that lands on the shoulders of the trans community, a community in which 40% of trans adults report attempting suicide.
190	190	19.0	6	I am one of those people and we won't be silent in the face of your attacks.'
191	191	20.0	6	And the more I hold myself close and fully embrace who I am, the more I dream, the more my heart grows and the more I thrive.
192	192	21.0	6	To all the trans people who deal with harassment, self-loathing, abuse, and the threat of violence every day: I see you, I love you, and I will do everything I can to change this world for the better.'
193	193	22.0	6	Page, now 33, had his breakthrough in 2005 thriller Hard Candy before finding international acclaim in Juno, the hit comedy about a teenage girl who decides to proceed with her unwanted pregnancy and find adoptive parents for her unborn child.
194	194	23.0	6	Page won an Oscar nomination for his performance in the Diablo Cody-scripted film, directed by Jason Reitman.
195	195	24.0	6	Other key films include Christopher Nolan's Inception, Drew Barrymore's Whip It and a recurring role as Kitty Pryde in the X-Men series.
196	196	25.0	6	On Tuesday, Netflix confirmed that the character would not change gender in future episodes, and that they were in the process of updating the credits and metadata of Page's back catalogue of films which screen on the streaming service.
197	197	26.0	6	Page came out as gay in a speech on Valentine's Day 2014 and two years later alleged that the film-maker Brett Ratner had outed him against his will aged 18 on the set of X-Men:
198	198	27.0	6	The Last Stand ' an allegation corroborated by the actor Anna Paquin, who was present at the time.
199	199	28.0	6	Page has been a vocal advocate for LGBT rights over the past decade and in January 2018 married the dancer and choreographer Emma Portner.
200	200	29.0	6	Nick Adams, GLAAD's Director of Transgender Media, said 'Elliot Page has given us fantastic characters on-screen, and has been an outspoken advocate for all LGBTQ people.
201	201	30.0	6	He will now be an inspiration to countless trans and non-binary people.
202	202	31.0	6	All transgender people deserve the chance to be ourselves and to be accepted for who we are.
203	203	1.0	7	Umbrella Academy' star Elliot Page announced that he is transgender and his pronouns are he/they in a powerful statement shared Tuesday on social media.
204	204	2.0	7	Page, also known for his Oscar-nominated lead role in 'Juno,' explained why he felt both 'lucky' and 'scared' to open up about his identity amid widespread discrimination and violence against the transgender community. '
205	205	3.0	7	I feel overwhelming gratitude for the incredible people who have supported me along this journey,' he wrote. '
206	206	4.0	7	I can't begin to express how remarkable it feels to finally love who I am enough to pursue my authentic self.
207	207	5.0	7	I've been endlessly inspired by so many in the trans community. '
208	208	6.0	7	Thank you for your courage, your generosity and ceaselessly working to make this world a more inclusive and compassionate place.
209	209	7.0	7	I will offer whatever support I can and continue to strive for a more loving and equal society.'
210	210	8.0	7	Advertisement Later in his post, Page cited 'staggering' statistics of violence against transgender people, more than one in four of whom 'has faced a bias-driven assault, and rates are higher for trans women and trans people of color,' according to the National Center for Transgender Equality. '
211	211	9.0	7	The truth is, despite feeling profoundly happy right now and knowing how much privilege I carry, I am also scared.
212	212	10.0	7	"Upon his announcement, Page has received an outpouring of support from LGBTQ advocacy groups, including the TGI Justice Project, Lambda Legal and GLAAD, which praised the performer's work, behind and in front of the camera. "" has given us fantastic characters on-screen, and has been an outspoken advocate for all LGBTQ people,' GLAAD posted on Twitter. '"
213	213	11.0	7	Elliot will now be an inspiration to countless trans and non-binary people.
214	214	12.0	7	Advertisement . has given us fantastic characters on-screen, and has been an outspoken advocate for all LGBTQ people.
215	215	13.0	7	Elliot will now be an inspiration to countless trans and non-binary people.
216	216	1.0	8	Elliot Page, star of 'Juno,' comes out as transgender David Oliver
217	217	2.0	8	| USA TODAY Show Caption Hide Caption Americans wrongly think LGBTQ people are protected from discrimination
218	218	3.0	8	In reality, many federal protections aren't available to the LGBTQ community.
219	219	4.0	8	"USA TODAY Elliot Page, Academy Award-nominated star of ""Juno,"" has come out as transgender."
220	220	5.0	8	"Hi friends, I want to share with you that I am trans, my pronouns are he/they and my name is Elliot,"" he wrote on Twitter and Instagram Tuesday."
221	221	6.0	8	Page announced in early 2018 that he married New York dance teacher Emma Portner.
222	222	7.0	8	"The star came out as gay in 2014 (though in this latest social post said he was ""queer""), and claimed producer/director Brett Ratner outed him as such."
223	223	8.0	8	"Page continued in his social media post: ""I feel overwhelming gratitude for the incredible people who have supported me along this journey."
224	224	9.0	8	I can't begin to express how remarkable it feels to finally love who I am enough to pursue my authentic self.
225	225	10.0	8	I've been endlessly inspired by so many in the trans community.
226	226	11.0	8	The truth is, despite feeling profoundly happy right now and knowing how much privilege I (carry), I am also scared.
227	227	12.0	8	To be clear, I am not trying to dampen a moment that is joyous and one that I celebrate, but I want to address the full picture.
228	228	13.0	8	The discrimination towards trans people is rife, insidious and cruel, resulting in horrific consequences.
229	229	14.0	8	Page notes the Human Rights Campaign statistic that 40 transgender or gender non-conforming people have been fatally shot or killed by other violent means in 2020 alone.
230	230	15.0	8	The majority of these are Black and Latinx transgender women.
231	231	16.0	8	And Hollywood is no stranger to violence against transgender women: Actress Laverne Cox faced a transphobic attack during a walk in the park with a friend over the weekend.
